file_path,file_name,source_area,line_number,variable_name,variable_style,extraction_type,likely_role,module_hint,context
hooks\useGeneralOverheads.js,useGeneralOverheads.js,hooks,510,unallocated_overhead_amount,snake_case,object_key,object_field,general-overheads,"allocation_outputs.unallocated_overhead_lines, unallocated_overhead_amount: allocation_outputs.unallocated_overhead_amount,"
hooks\useGeneralOverheads.js,useGeneralOverheads.js,hooks,511,unallocated_overhead_amount,snake_case,snake_case_reference,warning_id,general-overheads,"unallocated_overhead_amount: allocation_outputs.unallocated_overhead_amount, allocation_pool_warnings: allocation_outputs.allocation_pool_warnings,"
hooks\useGeneralOverheads.js,useGeneralOverheads.js,hooks,508,unallocated_overhead_lines,snake_case,object_key,object_field,general-overheads,"), unallocated_overhead_lines: allocation_outputs.unallocated_overhead_lines,"
hooks\useGeneralOverheads.js,useGeneralOverheads.js,hooks,94,unknown,plain,quoted_object_key,object_field,general-overheads,"return ""no_asset_finance_interest""; case ""unknown"": case ""not_reviewed"":"
hooks\useGeneralOverheads.js,useGeneralOverheads.js,hooks,337,updated_at,snake_case,object_key,object_field,general-overheads,"created_at: current_overhead_state?.created_at || timestamp, updated_at: timestamp,"
hooks\useGeneralOverheads.js,useGeneralOverheads.js,hooks,526,updated_at,snake_case,object_key,object_field,general-overheads,"current.system_allocation_amount_overrides ?? {}, updated_at: new Date().toISOString(), }));"
hooks\useGeneralOverheads.js,useGeneralOverheads.js,hooks,547,updated_at,snake_case,object_key,object_field,general-overheads,"synced_pnl_overhead_items: current.synced_pnl_overhead_items ?? [], updated_at: new Date().toISOString(), }));"
hooks\useGeneralOverheads.js,useGeneralOverheads.js,hooks,568,updated_at,snake_case,object_key,object_field,general-overheads,"synced_pnl_overhead_items: current.synced_pnl_overhead_items ?? [], updated_at: new Date().toISOString(), }));"
hooks\useGeneralOverheads.js,useGeneralOverheads.js,hooks,599,updated_at,snake_case,object_key,object_field,general-overheads,"next_system_allocation_amount_overrides, updated_at: new Date().toISOString(), };"
hooks\useGeneralOverheads.js,useGeneralOverheads.js,hooks,615,updated_at,snake_case,object_key,object_field,general-overheads,"current.system_allocation_amount_overrides ?? {}, updated_at: new Date().toISOString(), }));"
hooks\useGeneralOverheads.js,useGeneralOverheads.js,hooks,629,updated_at,snake_case,object_key,object_field,general-overheads,"current.system_allocation_amount_overrides ?? {}, updated_at: new Date().toISOString(), }));"
hooks\useGeneralOverheads.js,useGeneralOverheads.js,hooks,643,updated_at,snake_case,object_key,object_field,general-overheads,"}, updated_at: new Date().toISOString(), }));"
hooks\useGeneralOverheads.js,useGeneralOverheads.js,hooks,688,updated_at,snake_case,object_key,object_field,general-overheads,"loaded?.system_allocation_amount_overrides ?? {}, updated_at: new Date().toISOString(), });"
lib\storage\generalOverheadProfileStorage.js,generalOverheadProfileStorage.js,lib,39,updated_at,snake_case,object_key,object_field,general-overheads,"created_at: profile.created_at || now, updated_at: profile.updated_at || profile.created_at || now, change_reason: profile.change_reason || """","
lib\storage\generalOverheadProfileStorage.js,generalOverheadProfileStorage.js,lib,89,updated_at,snake_case,object_key,object_field,general-overheads,"now, updated_at: now, change_reason:"
lib\storage\generalOverheadStorage.js,generalOverheadStorage.js,lib,125,updated_at,snake_case,object_key,object_field,general-overheads,"created_at: overhead_state.created_at || create_timestamp(), updated_at: create_timestamp(), change_reason: overhead_state.change_reason || """","
lib\storage\generalOverheadStorage.js,generalOverheadStorage.js,lib,60,updated_at,snake_case,object_key,object_field,general-overheads,"created_at: timestamp, updated_at: timestamp,"
