"module_name","variable_name","audit_status","same_variable_exists_in_brief","brief_lookup_column_used","brief_modules_or_files_with_same_variable","pass_3_review_type","recommended_decision","reviewer_notes","code_files","notes"
"business-setup","business_setup_output_contract","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useRevenueCogs.js | hooks\useRevenueReality.js","implemented_contract_not_documented_in_brief"
"business-setup","business_setup_state","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useBusinessSetup.js","implemented_contract_not_documented_in_brief"
"business-summary","business_summary","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useBusinessModelling.js | hooks\useQuoteEngine.js | hooks\useRecoverySummary.js | hooks\useRevenueReality.js | lib\recovery\recoveryRiskWarningSystem.js","implemented_contract_not_documented_in_brief"
"business-summary","business_summary_usable","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useBusinessModelling.js","implemented_contract_not_documented_in_brief"
"business-summary","business_summary_warnings","code_only_not_in_brief","yes","file_path","14_MIRRA_BUSINESS_SUMMARY_v4.0_LOCKED.txt","owner_alias_review","","","app\business-summary\page.jsx | components\business-summary\BusinessSummaryStatusStrip.jsx | hooks\useBusinessModelling.js | hooks\useBusinessSummary.js | hooks\useQuoteEngine.js | lib\calculations\businessModellingCalculations.js | lib\selectors\businessSummarySelectors.js | lib\selectors\quoteEngineSelectors.js","implemented_contract_not_documented_in_brief | warnings_field"
"business-summary","business_type","code_only_not_in_brief","yes","file_path","12_MIRRA_BUSINESS_SETUP_v4.0_LOCKED.txt; 13_MIRRA_REVENUE_COGS_v4.0_LOCKED.txt; 14_MIRRA_BUSINESS_SUMMARY_v4.0_LOCKED.txt; 15_MIRRA_REVENUE_REALITY_v4.0_LOCKED.txt","owner_alias_review","","","hooks\useBusinessSummary.js","implemented_contract_not_documented_in_brief"
"business-summary","calculations","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useBusinessSummary.js","implemented_contract_not_documented_in_brief"
"business-summary","cost_burden_breakdown","code_only_not_in_brief","yes","file_path","14_MIRRA_BUSINESS_SUMMARY_v4.0_LOCKED.txt","owner_alias_review","","","hooks\useBusinessSummary.js","implemented_contract_not_documented_in_brief"
"business-summary","is_product_based","code_only_not_in_brief","yes","file_path","12_MIRRA_BUSINESS_SETUP_v4.0_LOCKED.txt; 14_MIRRA_BUSINESS_SUMMARY_v4.0_LOCKED.txt; 15_MIRRA_REVENUE_REALITY_v4.0_LOCKED.txt","owner_alias_review","","","app\business-summary\page.jsx | components\business-summary\BusinessSummaryCard.jsx | components\business-summary\BusinessSummaryHierarchyBuilder.js | hooks\useBusinessSummary.js | lib\calculations\businessSummaryCalculations.js | lib\selectors\businessSummarySelectors.js","implemented_contract_not_documented_in_brief | readiness_field"
"business-summary","people","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","components\business-summary\BusinessSummaryCard.jsx | components\business-summary\BusinessSummaryHierarchyBuilder.js | components\business-summary\BusinessSummaryMacroPositionCard.jsx | hooks\useBusinessSummary.js","implemented_contract_not_documented_in_brief"
"business-summary","product_based","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useBusinessSummary.js","implemented_contract_not_documented_in_brief"
"business-summary","ready","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useBusinessSummary.js | lib\selectors\businessSummarySelectors.js","implemented_contract_not_documented_in_brief"
"cost-allocation","base_calculation_inputs","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useCostAllocation.js","implemented_contract_not_documented_in_brief"
"cost-allocation","build_cost_allocation_output_contract","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\cost-allocation\useCostAllocationOutputContract.js | hooks\useCostAllocation.js","implemented_contract_not_documented_in_brief"
"cost-allocation","cost_allocation","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","app\recovery-outcome\page.jsx | components\rate-builder\RateBuilderLineCalculator.jsx | hooks\useRecoveryOutcome.js | lib\calculations\recoveryOutcomeCalculations.js | lib\recovery\recoveryRiskWarningSystem.js","implemented_contract_not_documented_in_brief"
"cost-allocation","cost_allocation_contract","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","app\recovery-outcome\page.jsx","implemented_contract_not_documented_in_brief"
"cost-allocation","fallback_recovery_summary","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useCostAllocation.js","implemented_contract_not_documented_in_brief"
"cost-allocation","recovery_outputs","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","lib\calculations\cost-allocation\costAllocationInputBuilder.js","implemented_contract_not_documented_in_brief"
"cost-allocation","recovery_summary","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useCostAllocation.js | lib\calculations\cost-allocation\costAllocationInputBuilder.js","implemented_contract_not_documented_in_brief"
"cost-summary","category_totals","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useCostSummary.js","implemented_contract_not_documented_in_brief"
"cost-summary","cost_summary","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useBusinessSummary.js | hooks\useQuoteEngine.js | hooks\useRevenueSummary.js | lib\audit\buildLiveAuditSnapshotExport.js","implemented_contract_not_documented_in_brief"
"cost-summary","employer_contribution_totals","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useCostSummary.js","implemented_contract_not_documented_in_brief"
"cost-summary","entitlement_totals","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useCostSummary.js","implemented_contract_not_documented_in_brief"
"cost-summary","legacy_display","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useCostSummary.js","implemented_contract_not_documented_in_brief"
"general-overheads","actions","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useGeneralOverheads.js","implemented_contract_not_documented_in_brief"
"general-overheads","allocation_outputs","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useGeneralOverheads.js","implemented_contract_not_documented_in_brief"
"general-overheads","build_general_overhead_allocation_outputs","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useGeneralOverheads.js","implemented_contract_not_documented_in_brief"
