variable_name,occurrence_count,file_count,source_areas,extraction_types,likely_roles,module_hints,files,review_reason
margin_per_unit,60,18,app | components | hooks | lib,declaration | object_key | snake_case_reference,calculation | mentioned | selector | warning_id,business-summary | recovery-summary | revenue-cogs,app\business-summary\page.jsx | app\revenue-cogs\page.jsx | components\business-summary\BusinessSummaryCard.jsx | components\business-summary\BusinessSummaryHierarchyBuilder.js | components\business-summary\BusinessSummaryResultHero.jsx | components\recovery-summary\RecoverySummaryMainCard.jsx | components\recovery-summary\RecoverySummaryStatusStrip.jsx | components\recovery-summary\main-card\RecoverySupportingEvidenceDetail.jsx | components\revenue-cogs\RevenueCogsCard.jsx | hooks\useBusinessSummary.js | hooks\useRecoverySummary.js | hooks\useRevenueCogs.js | lib\calculations\businessSummaryCalculations.js | lib\calculations\recoverySummaryCalculations.js | lib\calculations\revenueCogsCalculations.js | lib\selectors\businessSummarySelectors.js | lib\selectors\recoverySummarySelectors.js | lib\selectors\revenueCogsSelectors.js,appears_in_multiple_files | appears_with_multiple_roles | appears_across_multiple_modules
model_trust_state,59,18,app | components | hooks | lib,declaration | object_key | snake_case_reference,output_contract_field | trust_state_field,model-readiness,app\business-modelling\page.jsx | app\quote-engine\page.jsx | components\business-modelling\BusinessModellingBaselineCard.jsx | components\quote-engine\QuoteEngineStatusStrip.jsx | hooks\useBusinessModelling.js | hooks\useBusinessSummary.js | hooks\useQuoteEngine.js | hooks\useRecoverySummary.js | lib\calculations\businessModellingCalculations.js | lib\calculations\cost-allocation\costAllocationInputBuilder.js | lib\calculations\quoteEngineCalculations.js | lib\calculations\recoveryOutcomeCalculations.js | lib\calculations\recoverySummaryCalculations.js | lib\selectors\businessModellingSelectors.js | lib\selectors\businessSummarySelectors.js | lib\selectors\quoteEngineSelectors.js | lib\selectors\recoveryOutcomeSelectors.js | lib\selectors\recoverySummarySelectors.js,appears_in_multiple_files | appears_with_multiple_roles | status_or_trust_field
asset_name,52,18,components | hooks | lib,object_key | snake_case_reference,calculation | mentioned | object_field | selector | warning_id,assets,components\assets\AssetForm.jsx | components\assets\AssetListCard.jsx | components\assets\AssetSummaryCard.jsx | components\business-summary\BusinessSummaryComponentBreakdown.jsx | components\business-summary\BusinessSummaryHierarchyBuilder.js | components\cost-allocation\CostAllocationLinkTable.jsx | components\cost-allocation\groups\CostAllocationGroupCostSummary.jsx | components\cost-allocation\groups\costAllocationGroupHelpers.js | components\recovery-summary\RecoverySummaryComponentBreakdown.jsx | hooks\cost-allocation\useCostAllocationAssetOverlay.js | hooks\cost-allocation\useCostAllocationGroupRecoveryRows.js | hooks\useAssets.js | lib\calculations\cost-allocation\costAllocationInputBuilder.js | lib\calculations\cost-allocation\costAllocationPoolBuilders.js | lib\calculations\cost-allocation\costAllocationValidation.js | lib\selectors\assetSelectors.js | lib\storage\assetProfileStorage.js | lib\storage\assetStorage.js,appears_in_multiple_files | appears_with_multiple_roles
staff_role,50,18,components | hooks | lib,declaration | object_key | snake_case_reference,calculation | mentioned | object_field | selector | warning_id,labour,components\employee-overheads\EmployeeOverheadStaffCard.jsx | components\labour\LabourProfileCard.jsx | components\labour\LabourSummaryCard.jsx | components\labour\SavedProfilesCard.jsx | components\recovery-outcome\RecoveryOutcomeAnalysisCard.jsx | hooks\cost-allocation\useCostAllocationGroupRecoveryRows.js | hooks\useEmployeeOverheads.js | hooks\useLabour.js | lib\calculations\cost-allocation\costAllocationInputBuilder.js | lib\calculations\cost-allocation\costAllocationLabourAdapter.js | lib\calculations\recoveryAnalysisCalculations.js | lib\selectors\employeeOverheadSelectors.js | lib\selectors\labour\labourOutputContractSelectors.js | lib\selectors\labour\labourProfileSelectors.js | lib\selectors\labour\labourStatusSelectors.js | lib\selectors\labour\labourSummarySelectors.js | lib\selectors\labour\labourTypeSelectors.js | lib\storage\labourStorage.js,appears_in_multiple_files | appears_with_multiple_roles
total,29,18,components | lib,declaration | object_key | quoted_object_key,calculation | object_field | selector,assets | business-summary | cost-allocation | cost-summary | general-overheads | labour | p-and-l | rate-builder | recovery-outcome-legacy | recovery-summary | revenue-reality,components\assets\AssetSummaryCard.jsx | components\business-summary\BusinessSummaryCalculationTable.jsx | components\business-summary\BusinessSummaryMacroPositionCard.jsx | components\cost-allocation\CostAllocationEvidenceBreakdown.jsx | components\cost-summary\CostSummaryCard.jsx | components\labour\LabourCompactWorkspaceCard.jsx | components\labour\LabourFlowCard.jsx | components\labour\LabourSummaryCard.jsx | components\p-and-l\ProfitAndLossMainCard.jsx | components\recovery-summary\RecoverySummaryStatusStrip.jsx | components\recovery-summary\main-card\RecoverySupportingEvidenceDetail.jsx | components\revenue-reality\RevenueRealityComparisonBlock.jsx | lib\calculations\profitAndLossCalculations.js | lib\calculations\rateBuilderCalculations.js | lib\calculations\recoveryOutcomeCalculations.js | lib\selectors\general-overheads\generalOverheadCategorySelectors.js | lib\selectors\recoverySummarySelectors.js | lib\selectors\revenueRealitySelectors.js,appears_in_multiple_files | appears_with_multiple_roles | appears_across_multiple_modules
key,188,17,components | lib,declaration | object_key,calculation | local_variable | object_field | selector,assets | business-summary | cost-allocation | cost-summary | general-overheads | labour | p-and-l | recovery-outcome-legacy | revenue-cogs | unknown,components\business-summary\BusinessSummaryCardUtils.js | components\business-summary\BusinessSummaryHierarchyBuilder.js | components\common\ReclassificationBoard.jsx | components\cost-allocation\groups\CostAllocationOperatingGroupBuilder.jsx | components\cost-summary\CostSummaryCard.jsx | components\general-overheads\GeneralOverheadReclassificationGroup.jsx | components\labour\ScenarioModelCard.jsx | components\quick-start\QuickStartMainCard.jsx | lib\calculations\generalOverheadCalculations.js | lib\calculations\labourScenarioCalculations.js | lib\calculations\recoveryOutcomeCalculations.js | lib\imports\xeroCogImporter.js | lib\p-and-l\profitAndLossGroupingRules.js | lib\selectors\assetSelectors.js | lib\selectors\general-overheads\generalOverheadAllocationSelectors.js | lib\selectors\general-overheads\generalOverheadDefinitions.js | lib\selectors\labour\labourSummarySelectors.js,appears_in_multiple_files | appears_with_multiple_roles | appears_across_multiple_modules
staff_type_id,117,17,components | hooks | lib,declaration | object_key | snake_case_reference,calculation | local_variable | mentioned | object_field | selector,labour,components\cost-allocation\groups\CostAllocationGroupCostSummary.jsx | components\cost-allocation\groups\CostAllocationGroupLabourBuilder.jsx | components\cost-allocation\groups\costAllocationGroupHelpers.js | components\labour\LabourProfileCard.jsx | components\labour\ProductiveStaffTypeRatesPanel.jsx | hooks\cost-allocation\useCostAllocationAssignmentCards.js | hooks\cost-allocation\useCostAllocationGroupRecoveryRows.js | hooks\useCostAllocation.js | hooks\useLabour.js | lib\calculations\cost-allocation\costAllocationCoverage.js | lib\calculations\cost-allocation\costAllocationLabourAdapter.js | lib\calculations\cost-allocation\costAllocationPoolBuilders.js | lib\calculations\labourCalculations.js | lib\selectors\cost-allocation\costAllocationRateBuilderSelectors.js | lib\selectors\rate-builder\rateBuilderLabourSourceSelectors.js | lib\storage\labourProfileStorage.js | lib\storage\labourStorage.js,appears_in_multiple_files | appears_with_multiple_roles
group_id,107,17,components | hooks | lib,declaration | object_key | snake_case_reference,calculation | local_variable | mentioned | object_field | selector,assets | cost-allocation | labour | rate-builder,components\cost-allocation\CostAllocationEvidenceBreakdown.jsx | components\cost-allocation\CostAllocationStepBuilder.jsx | components\cost-allocation\divisions\CostAllocationDivisionCard.jsx | components\cost-allocation\groups\CostAllocationGroupAssetBuilder.jsx | components\cost-allocation\groups\CostAllocationGroupHeader.jsx | components\cost-allocation\groups\CostAllocationGroupLabourBuilder.jsx | components\cost-allocation\groups\CostAllocationGroupOverheadBuilder.jsx | components\cost-allocation\groups\CostAllocationOperatingGroupBuilder.jsx | components\cost-allocation\groups\costAllocationGroupHelpers.js | components\rate-builder\RateBuilderLineCalculator.jsx | hooks\cost-allocation\useCostAllocationGroupRecoveryRows.js | hooks\useCostAllocation.js | lib\calculations\cost-allocation\costAllocationDivisionBuilders.js | lib\calculations\cost-allocation\costAllocationPoolBuilders.js | lib\calculations\labourCalculations.js | lib\selectors\cost-allocation\costAllocationRateBuilderSelectors.js | lib\storage\costAllocationStorage.js,appears_in_multiple_files | appears_with_multiple_roles | appears_across_multiple_modules
labour_class,77,17,components | hooks | lib,declaration | object_key | snake_case_reference,calculation | local_variable | mentioned | object_field | selector | warning_id,labour,components\labour\LabourProfileCard.jsx | components\labour\LabourSummaryCard.jsx | components\labour\SavedProfilesCard.jsx | hooks\cost-allocation\useCostAllocationAssignmentCards.js | hooks\cost-allocation\useCostAllocationGroupRecoveryRows.js | hooks\useCostAllocation.js | hooks\useLabour.js | lib\calculations\cost-allocation\costAllocationInputBuilder.js | lib\calculations\cost-allocation\costAllocationLabourAdapter.js | lib\calculations\labourCalculations.js | lib\calculations\recoveryAnalysisCalculations.js | lib\selectors\labour\labourOutputContractSelectors.js | lib\selectors\labour\labourProfileSelectors.js | lib\selectors\labour\labourStatusSelectors.js | lib\selectors\labour\labourSummarySelectors.js | lib\selectors\labour\labourTypeSelectors.js | lib\storage\labourStorage.js,appears_in_multiple_files | appears_with_multiple_roles
is_product_based,71,17,app | components | hooks | lib,declaration | object_key | snake_case_reference,output_contract_field | readiness_field,business-setup | business-summary | recovery-summary | revenue-cogs | revenue-reality,app\business-summary\page.jsx | app\revenue-cogs\page.jsx | components\business-summary\BusinessSummaryCard.jsx | components\business-summary\BusinessSummaryHierarchyBuilder.js | components\recovery-summary\RecoverySummaryMainCard.jsx | components\recovery-summary\RecoverySummaryRequirementBlock.jsx | components\revenue-cogs\RevenueCogsCard.jsx | hooks\useBusinessSetup.js | hooks\useBusinessSummary.js | hooks\useRecoverySummary.js | hooks\useRevenueCogs.js | hooks\useRevenueReality.js | lib\calculations\businessSummaryCalculations.js | lib\calculations\recoverySummaryCalculations.js | lib\calculations\revenueRealityCalculations.js | lib\selectors\businessSummarySelectors.js | lib\selectors\recoverySummarySelectors.js,appears_in_multiple_files | appears_with_multiple_roles | appears_across_multiple_modules
total_recovery_hours,62,17,app | components | hooks | lib,declaration | object_key | snake_case_reference,calculation | mentioned | output_contract_field | selector,business-summary | cost-summary | labour | recovery-summary,app\business-summary\page.jsx | app\cost-summary\page.jsx | components\business-summary\BusinessSummaryCard.jsx | components\business-summary\BusinessSummaryComponentBreakdown.jsx | components\business-summary\BusinessSummaryModePanel.jsx | components\cost-summary\CostSummaryCard.jsx | components\recovery-summary\RecoverySummaryComponentBreakdown.jsx | hooks\useBusinessSummary.js | hooks\useCostSummary.js | hooks\useRecoverySummary.js | lib\calculations\businessSummaryCalculations.js | lib\calculations\costSummaryCalculations.js | lib\calculations\recoverySummaryCalculations.js | lib\selectors\businessSummarySelectors.js | lib\selectors\costSummarySelectors.js | lib\selectors\labour\labourOutputContractSelectors.js | lib\selectors\recoverySummarySelectors.js,appears_in_multiple_files | appears_with_multiple_roles | appears_across_multiple_modules
active_recovery_model,58,17,components | hooks | lib,declaration | object_key | snake_case_reference,calculation | mentioned | object_field | selector,cost-allocation | recovery-outcome-legacy | recovery-summary,components\cost-allocation\CostAllocationNoticeBanner.jsx | components\cost-allocation\CostAllocationStatusStrip.jsx | components\recovery-outcome\RecoveryOutcomeMainCard.jsx | components\recovery-outcome\RecoveryOutcomeStatusStrip.jsx | hooks\cost-allocation\useCostAllocationOutputContract.js | hooks\useRecoverySummary.js | lib\calculations\cost-allocation\costAllocationInputBuilder.js | lib\calculations\cost-allocation\costAllocationValidation.js | lib\calculations\costAllocationRules.js | lib\calculations\recoveryOutcomeCalculations.js | lib\calculations\recoverySummaryCalculations.js | lib\selectors\cost-allocation\costAllocationCardSections.js | lib\selectors\cost-allocation\costAllocationCardSelectors.js | lib\selectors\cost-allocation\costAllocationStatusSelectors.js | lib\selectors\recoveryOutcomeSelectors.js | lib\selectors\recoverySummarySelectors.js | lib\storage\costAllocationProfileStorage.js,appears_in_multiple_files | appears_with_multiple_roles | appears_across_multiple_modules
activity_driver_type,52,17,app | components | hooks | lib,declaration | object_key | snake_case_reference,calculation | mentioned | selector | warning_id,business-summary | cost-allocation | recovery-outcome-legacy | recovery-summary,app\business-summary\page.jsx | components\business-summary\BusinessSummaryCard.jsx | components\business-summary\BusinessSummaryHierarchyBuilder.js | components\business-summary\BusinessSummaryModePanel.jsx | components\recovery-summary\RecoverySummaryMainCard.jsx | components\recovery-summary\RecoverySummaryRequirementBlock.jsx | components\recovery-summary\main-card\recoverySummaryWarningHelpers.js | hooks\useBusinessSummary.js | hooks\useRecoverySummary.js | lib\calculations\businessSummaryCalculations.js | lib\calculations\cost-allocation\costAllocationInputBuilder.js | lib\calculations\recoveryOutcomeCalculations.js | lib\calculations\recoverySummaryCalculations.js | lib\selectors\businessSummarySelectors.js | lib\selectors\cost-allocation\costAllocationCardSections.js | lib\selectors\recoveryOutcomeSelectors.js | lib\selectors\recoverySummarySelectors.js,appears_in_multiple_files | appears_with_multiple_roles | appears_across_multiple_modules
default,29,17,app | components | hooks | lib,object_key,calculation | object_field | selector | warning_id,cost-allocation | general-overheads | labour | opening-hours | p-and-l | quote-engine-legacy | unknown,app\opening-hours\page.jsx | components\general-overheads\GeneralOverheadReclassificationSection.jsx | components\general-overheads\GeneralOverheadSummaryCard.jsx | components\p-and-l\ProfitAndLossOperatingExpenseGroup.jsx | components\p-and-l\ProfitAndLossSectionBlock.jsx | components\p-and-l\ProfitAndLossStatusStrip.jsx | components\quote-engine\QuoteEngineSideCard.jsx | components\quote-engine\QuoteEngineStatusStrip.jsx | hooks\useGeneralOverheads.js | lib\calculations\labourScenarioCalculations.js | lib\calculations\profitAndLossCalculations.js | lib\calculations\quickStartCalculations.js | lib\p-and-l\profitAndLossClassificationRules.js | lib\p-and-l\profitAndLossGroupingRules.js | lib\selectors\cost-allocation\costAllocationDisplayHelpers.js | lib\storage\profitAndLossProfileStorage.js | lib\storage\profitAndLossStorage.js,appears_in_multiple_files | appears_with_multiple_roles | appears_across_multiple_modules
formatCurrency,19,17,components | lib,export_function | function | import,calculation | exported_function | imported_dependency | mentioned | selector,business-modelling | business-summary | cost-allocation | cost-summary | model-readiness | p-and-l | quote-engine-legacy | rate-builder | revenue-cogs,components\business-modelling\BusinessModellingBaselineCard.jsx | components\business-modelling\BusinessModellingDeltaCard.jsx | components\business-modelling\BusinessModellingScenarioResult.jsx | components\business-modelling\BusinessModellingStatusStrip.jsx | components\business-summary\BusinessSummaryCardUtils.js | components\business-summary\BusinessSummaryGraphSection.jsx | components\business-summary\BusinessSummaryStatusStrip.jsx | components\cost-allocation\groups\CostAllocationOperatingGroupBuilder.jsx | components\cost-summary\CostSummaryStatusStrip.jsx | components\model-readiness\ModelReadinessStatusStrip.jsx | components\p-and-l\ProfitAndLossReconciliationPanel.jsx | components\quote-engine\QuoteEngineRepairPanel.jsx | components\quote-engine\QuoteEngineStatusStrip.jsx | components\revenue-cogs\RevenueCogsCard.jsx | components\revenue-cogs\RevenueCogsStatusStrip.jsx | lib\calculations\rateBuilderCalculations.js | lib\selectors\quoteEngineSelectors.js,appears_in_multiple_files | appears_with_multiple_roles | appears_across_multiple_modules
line_name,160,16,components | hooks | lib,declaration | object_key | quoted_object_key | snake_case_reference,calculation | local_variable | mentioned | object_field | selector,general-overheads | p-and-l | revenue-cogs,components\p-and-l\ProfitAndLossCostOfSalesLineRow.jsx | components\p-and-l\ProfitAndLossLineRow.jsx | components\p-and-l\ProfitAndLossMainCard.jsx | components\p-and-l\ProfitAndLossOperatingExpenseGroup.jsx | components\p-and-l\ProfitAndLossQuickImportPanel.jsx | components\p-and-l\ProfitAndLossSectionBlock.jsx | hooks\useGeneralOverheads.js | lib\calculations\profitAndLossCalculations.js | lib\p-and-l\profitAndLossClassificationRules.js | lib\p-and-l\profitAndLossExcelImporter.js | lib\p-and-l\profitAndLossGroupingRules.js | lib\p-and-l\profitAndLossLineRules.js | lib\selectors\profitAndLossSelectors.js | lib\selectors\revenueCogsSelectors.js | lib\storage\profitAndLossProfileStorage.js | lib\storage\profitAndLossStorage.js,appears_in_multiple_files | appears_with_multiple_roles | appears_across_multiple_modules
asset_type,82,16,components | hooks | lib,declaration | object_key | snake_case_reference,calculation | local_variable | mentioned | object_field | selector | warning_id,assets,components\assets\AssetForm.jsx | components\assets\AssetListCard.jsx | components\assets\AssetSummaryCard.jsx | components\business-summary\BusinessSummaryComponentBreakdown.jsx | components\business-summary\BusinessSummaryHierarchyBuilder.js | components\recovery-summary\RecoverySummaryComponentBreakdown.jsx | hooks\cost-allocation\useCostAllocationAssetOverlay.js | hooks\cost-allocation\useCostAllocationAssignmentCards.js | hooks\cost-allocation\useCostAllocationGroupRecoveryRows.js | hooks\useAssets.js | lib\calculations\assetCalculations.js | lib\calculations\cost-allocation\costAllocationCoverage.js | lib\calculations\cost-allocation\costAllocationInputBuilder.js | lib\calculations\cost-allocation\costAllocationPoolBuilders.js | lib\selectors\assetSelectors.js | lib\storage\assetStorage.js,appears_in_multiple_files | appears_with_multiple_roles
recovery_hours_used,82,16,app | components | hooks | lib,declaration | object_key | snake_case_reference,calculation | mentioned | output_contract_field | selector | warning_id,assets | business-summary | cost-allocation | recovery-summary,app\business-summary\page.jsx | components\business-summary\BusinessSummaryCard.jsx | components\business-summary\BusinessSummaryHierarchyBuilder.js | components\recovery-summary\RecoverySummaryRequirementBlock.jsx | hooks\cost-allocation\useCostAllocationAssetOverlay.js | hooks\cost-allocation\useCostAllocationGroupRecoveryRows.js | hooks\cost-allocation\useCostAllocationOutputContract.js | hooks\useBusinessSummary.js | hooks\useCostAllocation.js | hooks\useRecoverySummary.js | lib\calculations\businessSummaryCalculations.js | lib\calculations\cost-allocation\costAllocationInputBuilder.js | lib\calculations\recoverySummaryCalculations.js | lib\selectors\businessSummarySelectors.js | lib\selectors\cost-allocation\costAllocationCardSections.js | lib\selectors\recoverySummarySelectors.js,appears_in_multiple_files | appears_with_multiple_roles | appears_across_multiple_modules
category_name,61,16,components | lib,declaration | object_key | snake_case_reference,calculation | local_variable | mentioned | object_field | selector,business-summary | cost-summary | general-overheads | p-and-l | recovery-summary | revenue-cogs,components\business-summary\BusinessSummaryComponentBreakdown.jsx | components\business-summary\BusinessSummaryHierarchyBuilder.js | components\business-summary\BusinessSummarySourceBreakdown.jsx | components\cost-summary\CostSummaryCard.jsx | components\p-and-l\ProfitAndLossCostOfSalesLineRow.jsx | components\p-and-l\ProfitAndLossCustomDirectCostCategoryPanel.jsx | components\p-and-l\ProfitAndLossMainCard.jsx | components\p-and-l\ProfitAndLossQuickImportPanel.jsx | components\recovery-summary\RecoverySummaryComponentBreakdown.jsx | lib\calculations\profitAndLossCalculations.js | lib\p-and-l\profitAndLossExcelImporter.js | lib\p-and-l\profitAndLossGroupingRules.js | lib\selectors\businessSummarySelectors.js | lib\selectors\general-overheads\generalOverheadCategorySelectors.js | lib\selectors\revenueCogsSelectors.js | lib\storage\profitAndLossStorage.js,appears_in_multiple_files | appears_with_multiple_roles | appears_across_multiple_modules
units_sold_annual,59,16,app | components | hooks | lib,declaration | object_key | snake_case_reference,calculation | mentioned | object_field | output_contract_field | selector | warning_id,business-summary | recovery-summary | revenue-cogs,app\business-summary\page.jsx | app\revenue-cogs\page.jsx | components\business-summary\BusinessSummaryCard.jsx | components\business-summary\BusinessSummaryHierarchyBuilder.js | components\business-summary\BusinessSummaryModePanel.jsx | components\recovery-summary\RecoverySummaryRequirementBlock.jsx | hooks\useBusinessSummary.js | hooks\useRecoverySummary.js | hooks\useRevenueCogs.js | lib\calculations\businessSummaryCalculations.js | lib\calculations\recoverySummaryCalculations.js | lib\calculations\revenueCogsCalculations.js | lib\selectors\businessSummarySelectors.js | lib\selectors\recoverySummarySelectors.js | lib\selectors\revenueCogsSelectors.js | lib\storage\revenueCogsStorage.js,appears_in_multiple_files | appears_with_multiple_roles | appears_across_multiple_modules
model_readiness_status,51,16,app | components | hooks | lib,declaration | object_key | snake_case_reference,output_contract_field | status_field,model-readiness,app\business-summary\page.jsx | app\cost-summary\page.jsx | app\dev\model-readiness\page.jsx | app\model-readiness\page.jsx | app\quote-engine\page.jsx | components\cost-summary\CostSummaryStatusStrip.jsx | components\model-readiness\ModelReadinessAuditPanel.jsx | components\model-readiness\ModelReadinessStatusStrip.jsx | components\quote-engine\QuoteEngineStatusStrip.jsx | hooks\useBusinessSummary.js | hooks\useCostSummary.js | hooks\useQuoteEngine.js | lib\calculations\modelReadinessCalculations.js | lib\calculations\quoteEngineCalculations.js | lib\selectors\costSummarySelectors.js | lib\selectors\quoteEngineSelectors.js,appears_in_multiple_files | appears_with_multiple_roles | status_or_trust_field
save_profile,42,16,components | hooks | lib,declaration | function | object_key | snake_case_reference,calculation | local_variable | mentioned | selector,assets | cost-allocation | general-overheads | labour | p-and-l | unknown,components\general-overheads\GeneralOverheadMainCard.jsx | components\general-overheads\GeneralOverheadProfilesCard.jsx | components\labour\LabourCompactWorkspaceCard.jsx | components\labour\LabourSummaryCard.jsx | components\labour\SavedProfilesCard.jsx | hooks\useGeneralOverheads.js | hooks\useLabour.js | hooks\useProfitAndLoss.js | lib\selectors\general-overheads\generalOverheadCardSelector.js | lib\storage\assetProfileStorage.js | lib\storage\costAllocationProfileStorage.js | lib\storage\materialsProfileStorage.js | lib\storage\profitAndLossProfileStorage.js | lib\storage\quickStartProfileStorage.js | lib\storage\revenueSummaryProfileStorage.js | lib\storage\squareMetreRateProfileStorage.js,appears_in_multiple_files | appears_with_multiple_roles | appears_across_multiple_modules
labour_based,29,16,components | hooks | lib,snake_case_reference,calculation | mentioned | output_contract_field | selector | warning_id,business-setup | labour | revenue-cogs,components\business-summary\BusinessSummaryCard.jsx | components\business-summary\BusinessSummaryHierarchyBuilder.js | components\revenue-cogs\RevenueCogsCard.jsx | hooks\useBusinessSetup.js | hooks\useBusinessSummary.js | hooks\useRevenueCogs.js | hooks\useRevenueReality.js | lib\calculations\businessSummaryCalculations.js | lib\calculations\cost-allocation\costAllocationInputBuilder.js | lib\calculations\recoverySummaryCalculations.js | lib\calculations\revenueRealityCalculations.js | lib\selectors\businessSetupSelectors.js | lib\selectors\businessSummarySelectors.js | lib\selectors\cost-allocation\costAllocationCardSections.js | lib\selectors\recoverySummarySelectors.js | lib\storage\businessSetupStorage.js,appears_in_multiple_files | appears_with_multiple_roles | appears_across_multiple_modules
md,20,16,components,object_key,object_field,business-setup | cost-allocation | cost-summary | employee-overheads-legacy | model-readiness | module-reconciliation | rate-builder | revenue-cogs,components\business-setup\BusinessSetupMainCard.jsx | components\cost-allocation\CostAllocationGroupsCard.jsx | components\cost-allocation\CostAllocationMainCard.jsx | components\cost-allocation\CostAllocationNoticeBanner.jsx | components\cost-allocation\CostAllocationStatusStrip.jsx | components\cost-allocation\CostAllocationStepBuilder.jsx | components\cost-allocation\divisions\CostAllocationDivisionCostSummary.jsx | components\employee-overheads\EmployeeOverheadCustomList.jsx | components\employee-overheads\EmployeeOverheadLibraryCard.jsx | components\model-readiness\ModelReadinessAuditPanel.jsx | components\model-readiness\ModelReadinessReconciliationChecks.jsx | components\model-readiness\ModelReadinessStatusStrip.jsx | components\model-readiness\ModelReadinessVarianceBreakdown.jsx | components\rate-builder\RateBuilderOverview.jsx | components\revenue-cogs\RevenueCogXeroImportPanel.jsx | components\revenue-cogs\RevenueCogsCard.jsx,appears_in_multiple_files | appears_across_multiple_modules
summary,17,16,app | components | hooks | lib,declaration | destructured_name | object_key,calculation | consumed_field | local_variable | object_field | output_contract_field | selector | warning_id,assets | general-overheads | labour | p-and-l | quote-engine-legacy | recovery-summary | revenue-cogs | unknown,app\materials\page.jsx | app\rates\square-metre\page.jsx | app\revenue-summary\page.jsx | components\recovery-summary\RecoverySummaryUnassignedCheckBlock.jsx | components\revenue-cogs\RevenueCogXeroImportPanel.jsx | hooks\useLabour.js | hooks\useMaterials.js | hooks\useRevenueSummary.js | hooks\useSquareMetreRate.js | lib\imports\xeroCogImporter.js | lib\selectors\assetSelectors.js | lib\selectors\general-overheads\generalOverheadCardSelector.js | lib\selectors\labourRateRealityCheckSelectors.js | lib\selectors\labour\labourSummarySelectors.js | lib\selectors\profitAndLossSelectors.js | lib\selectors\quoteEngineSelectors.js,appears_in_multiple_files | appears_with_multiple_roles | appears_across_multiple_modules | possible_handoff_field
staff_type_name,80,15,components | hooks | lib,declaration | object_key | snake_case_reference,calculation | local_variable | mentioned | object_field | selector | warning_id,labour,components\cost-allocation\groups\CostAllocationGroupCostSummary.jsx | components\cost-allocation\groups\costAllocationGroupHelpers.js | components\labour\LabourProfileCard.jsx | components\labour\ProductiveStaffTypeRatesPanel.jsx | hooks\cost-allocation\useCostAllocationGroupRecoveryRows.js | hooks\useCostAllocation.js | hooks\useLabour.js | lib\calculations\cost-allocation\costAllocationLabourAdapter.js | lib\calculations\cost-allocation\costAllocationPoolBuilders.js | lib\calculations\labourCalculations.js | lib\selectors\cost-allocation\costAllocationRateBuilderSelectors.js | lib\selectors\labour\labourTypeSelectors.js | lib\selectors\rate-builder\rateBuilderLabourSourceSelectors.js | lib\storage\labourProfileStorage.js | lib\storage\labourStorage.js,appears_in_multiple_files | appears_with_multiple_roles
group_name,55,15,components | hooks | lib,array_destructured_name | declaration | object_key | snake_case_reference,calculation | mentioned | object_field | selector | warning_id,cost-allocation | labour | rate-builder,components\cost-allocation\CostAllocationEvidenceBreakdown.jsx | components\cost-allocation\CostAllocationStepBuilder.jsx | components\cost-allocation\divisions\CostAllocationCreateDivisionForm.jsx | components\cost-allocation\divisions\CostAllocationDivisionCard.jsx | components\cost-allocation\groups\CostAllocationCreateGroupForm.jsx | components\cost-allocation\groups\CostAllocationGroupHeader.jsx | components\cost-allocation\groups\CostAllocationOperatingGroupBuilder.jsx | components\rate-builder\RateBuilderLineCalculator.jsx | hooks\cost-allocation\useCostAllocationGroupRecoveryRows.js | hooks\useCostAllocation.js | lib\calculations\cost-allocation\costAllocationPoolBuilders.js | lib\calculations\cost-allocation\costAllocationValidation.js | lib\calculations\labourCalculations.js | lib\selectors\cost-allocation\costAllocationRateBuilderSelectors.js | lib\storage\costAllocationStorage.js,appears_in_multiple_files | appears_with_multiple_roles | appears_across_multiple_modules
direct_cost_categories,54,15,app | components | hooks | lib,declaration | object_key | snake_case_reference,calculation | local_variable | mentioned | object_field | output_contract_field | selector,p-and-l | revenue-cogs,app\revenue-cogs\page.jsx | components\business-summary\BusinessSummarySourceBreakdown.jsx | components\p-and-l\ProfitAndLossCostOfSalesGroup.jsx | components\p-and-l\ProfitAndLossCostOfSalesLineRow.jsx | components\p-and-l\ProfitAndLossCustomDirectCostCategoryPanel.jsx | components\p-and-l\ProfitAndLossQuickImportPanel.jsx | components\revenue-cogs\RevenueCogsCard.jsx | hooks\useRevenueCogs.js | lib\calculations\profitAndLossCalculations.js | lib\calculations\revenueCogsCalculations.js | lib\p-and-l\profitAndLossExcelImporter.js | lib\p-and-l\profitAndLossGroupingRules.js | lib\selectors\revenueCogsSelectors.js | lib\storage\profitAndLossProfileStorage.js | lib\storage\profitAndLossStorage.js,appears_in_multiple_files | appears_with_multiple_roles | appears_across_multiple_modules
