variable_name,occurrence_count,file_count,source_areas,extraction_types,likely_roles,module_hints,files,review_reason
m2_rate,8,4,components | lib,quoted_object_key | snake_case_reference,calculation | mentioned | output_contract_field,unknown,components\quick-start\QuickStartBreakdownBar.jsx | components\quick-start\QuickStartMainCard.jsx | lib\calculations\quickStartCalculations.js | lib\selectors\quickStartSelectors.js,appears_in_multiple_files | appears_with_multiple_roles
manual_hours,8,4,components | lib,declaration | snake_case_reference,calculation | local_variable | mentioned,cost-allocation | rate-builder,components\cost-allocation\CostAllocationEvidenceBreakdown.jsx | components\cost-allocation\CostAllocationStepBuilder.jsx | components\rate-builder\RateBuilderLineCalculator.jsx | lib\calculations\cost-allocation\costAllocationPoolBuilders.js,appears_in_multiple_files | appears_with_multiple_roles | appears_across_multiple_modules
no_activity_driver,8,4,components | lib,object_key | snake_case_reference,selector | warning_id,business-summary | recovery-summary,components\recovery-summary\recoverySummaryWarningDetails.js | lib\calculations\recoverySummaryCalculations.js | lib\selectors\businessSummarySelectors.js | lib\selectors\recoverySummarySelectors.js,appears_in_multiple_files | appears_with_multiple_roles | appears_across_multiple_modules
recovery_ready,8,4,app | components | lib,object_key | snake_case_reference,readiness_field,recovery-summary,app\recovery-summary\page.jsx | components\recovery-summary\RecoverySummaryMainCard.jsx | components\recovery-summary\main-card\recoverySummaryWarningHelpers.js | lib\selectors\recoverySummarySelectors.js,appears_in_multiple_files
sick_leave_cost_annual,8,4,components | lib,declaration | snake_case_reference,calculation | mentioned | selector,cost-summary | labour,components\cost-summary\CostSummaryCard.jsx | lib\calculations\labourCalculations.js | lib\selectors\costSummarySelectors.js | lib\selectors\labour\labourOutputContractSelectors.js,appears_in_multiple_files | appears_with_multiple_roles | appears_across_multiple_modules
total_amount_display,8,4,components | lib,object_key | snake_case_reference,mentioned | selector,general-overheads | unknown,components\common\ReclassificationBoard.jsx | components\general-overheads\GeneralOverheadReclassificationGroup.jsx | components\general-overheads\GeneralOverheadSummaryCard.jsx | lib\selectors\general-overheads\generalOverheadAllocationSelectors.js,appears_in_multiple_files | appears_with_multiple_roles | appears_across_multiple_modules
total_unit_revenue,8,4,app | hooks | lib,declaration | object_key | snake_case_reference,calculation | mentioned | selector,revenue-cogs,app\revenue-cogs\page.jsx | hooks\useRevenueCogs.js | lib\calculations\revenueCogsCalculations.js | lib\selectors\revenueCogsSelectors.js,appears_in_multiple_files | appears_with_multiple_roles
upstream_model_not_ready,8,4,components | lib,object_key | snake_case_reference,readiness_field,recovery-summary,components\recovery-summary\main-card\recoverySummaryWarningHelpers.js | components\recovery-summary\recoverySummaryWarningDetails.js | lib\calculations\recoverySummaryCalculations.js | lib\selectors\recoverySummarySelectors.js,appears_in_multiple_files
vehicle_consumables_cost_annual,8,4,lib,object_key | snake_case_reference,calculation | mentioned | object_field | selector,general-overheads,lib\calculations\generalOverheadCalculations.js | lib\selectors\general-overheads\generalOverheadAllocationSelectors.js | lib\selectors\general-overheads\generalOverheadDefinitions.js | lib\storage\generalOverheadStorage.js,appears_in_multiple_files | appears_with_multiple_roles
vehicle_maintenance_cost_annual,8,4,lib,object_key | snake_case_reference,calculation | mentioned | object_field | selector,general-overheads,lib\calculations\generalOverheadCalculations.js | lib\selectors\general-overheads\generalOverheadAllocationSelectors.js | lib\selectors\general-overheads\generalOverheadDefinitions.js | lib\storage\generalOverheadStorage.js,appears_in_multiple_files | appears_with_multiple_roles
vehicle_registration_cost_annual,8,4,lib,object_key | snake_case_reference,calculation | mentioned | object_field | selector,general-overheads,lib\calculations\generalOverheadCalculations.js | lib\selectors\general-overheads\generalOverheadAllocationSelectors.js | lib\selectors\general-overheads\generalOverheadDefinitions.js | lib\storage\generalOverheadStorage.js,appears_in_multiple_files | appears_with_multiple_roles
vehicle_repairs_cost_annual,8,4,lib,object_key | snake_case_reference,calculation | mentioned | object_field | selector,general-overheads,lib\calculations\generalOverheadCalculations.js | lib\selectors\general-overheads\generalOverheadAllocationSelectors.js | lib\selectors\general-overheads\generalOverheadDefinitions.js | lib\storage\generalOverheadStorage.js,appears_in_multiple_files | appears_with_multiple_roles
vehicle_tyres_cost_annual,8,4,lib,object_key | snake_case_reference,calculation | mentioned | object_field | selector,general-overheads,lib\calculations\generalOverheadCalculations.js | lib\selectors\general-overheads\generalOverheadAllocationSelectors.js | lib\selectors\general-overheads\generalOverheadDefinitions.js | lib\storage\generalOverheadStorage.js,appears_in_multiple_files | appears_with_multiple_roles
asset_pool_status,7,4,hooks | lib,object_key | snake_case_reference,status_field,assets,hooks\cost-allocation\useCostAllocationAssignmentCards.js | lib\calculations\cost-allocation\costAllocationPoolBuilders.js | lib\calculations\costAllocationRules.js | lib\selectors\cost-allocation\costAllocationCardSections.js,appears_in_multiple_files | status_or_trust_field
asset_structure,7,4,components | lib,object_key | snake_case_reference,calculation | mentioned | object_field | selector,assets,components\cost-allocation\CostAllocationNoticeBanner.jsx | lib\calculations\cost-allocation\costAllocationStatus.js | lib\calculations\recoveryOutcomeCalculations.js | lib\selectors\cost-allocation\costAllocationDisplayHelpers.js,appears_in_multiple_files | appears_with_multiple_roles
general_admin_cost,7,4,components | lib,object_key | snake_case_reference,calculation | mentioned | object_field | selector,general-overheads,components\general-overheads\GeneralOverheadForm.jsx | lib\calculations\generalOverheadCalculations.js | lib\selectors\general-overheads\generalOverheadDefinitions.js | lib\storage\generalOverheadStorage.js,appears_in_multiple_files | appears_with_multiple_roles
internal_capacity,7,4,components | lib,object_key | snake_case_reference,calculation | mentioned | object_field | selector,cost-allocation | recovery-outcome-legacy,components\cost-allocation\CostAllocationNoticeBanner.jsx | lib\calculations\cost-allocation\costAllocationStatus.js | lib\calculations\recoveryOutcomeCalculations.js | lib\selectors\cost-allocation\costAllocationDisplayHelpers.js,appears_in_multiple_files | appears_with_multiple_roles | appears_across_multiple_modules
internet_cost,7,4,components | lib,object_key | snake_case_reference,calculation | mentioned | object_field | selector,general-overheads,components\general-overheads\GeneralOverheadForm.jsx | lib\calculations\generalOverheadCalculations.js | lib\selectors\general-overheads\generalOverheadDefinitions.js | lib\storage\generalOverheadStorage.js,appears_in_multiple_files | appears_with_multiple_roles
legal_fees,7,4,components | lib,object_key | snake_case_reference,calculation | mentioned | object_field | selector,general-overheads,components\general-overheads\GeneralOverheadForm.jsx | lib\calculations\generalOverheadCalculations.js | lib\selectors\general-overheads\generalOverheadDefinitions.js | lib\storage\generalOverheadStorage.js,appears_in_multiple_files | appears_with_multiple_roles
marketing_cost,7,4,components | lib,object_key | snake_case_reference,calculation | mentioned | object_field | selector,general-overheads,components\general-overheads\GeneralOverheadForm.jsx | lib\calculations\generalOverheadCalculations.js | lib\selectors\general-overheads\generalOverheadDefinitions.js | lib\storage\generalOverheadStorage.js,appears_in_multiple_files | appears_with_multiple_roles
no_units_sold,7,4,components | lib,object_key | snake_case_reference,selector | warning_id,business-summary | recovery-summary,components\recovery-summary\recoverySummaryWarningDetails.js | lib\calculations\recoverySummaryCalculations.js | lib\selectors\businessSummarySelectors.js | lib\selectors\recoverySummarySelectors.js,appears_in_multiple_files | appears_with_multiple_roles | appears_across_multiple_modules
office_rent,7,4,components | lib,object_key | snake_case_reference,calculation | mentioned | object_field | selector,general-overheads,components\general-overheads\GeneralOverheadForm.jsx | lib\calculations\generalOverheadCalculations.js | lib\selectors\general-overheads\generalOverheadDefinitions.js | lib\storage\generalOverheadStorage.js,appears_in_multiple_files | appears_with_multiple_roles
office_supplies_cost,7,4,components | lib,object_key | snake_case_reference,calculation | mentioned | object_field | selector,general-overheads,components\general-overheads\GeneralOverheadForm.jsx | lib\calculations\generalOverheadCalculations.js | lib\selectors\general-overheads\generalOverheadDefinitions.js | lib\storage\generalOverheadStorage.js,appears_in_multiple_files | appears_with_multiple_roles
other_general_overhead_cost,7,4,components | lib,object_key | snake_case_reference,calculation | mentioned | object_field | selector,general-overheads,components\general-overheads\GeneralOverheadForm.jsx | lib\calculations\generalOverheadCalculations.js | lib\selectors\general-overheads\generalOverheadDefinitions.js | lib\storage\generalOverheadStorage.js,appears_in_multiple_files | appears_with_multiple_roles
overhead_pool_status,7,4,hooks | lib,object_key | snake_case_reference,status_field,general-overheads,hooks\cost-allocation\useCostAllocationAssignmentCards.js | lib\calculations\cost-allocation\costAllocationPoolBuilders.js | lib\calculations\costAllocationRules.js | lib\selectors\cost-allocation\costAllocationCardSections.js,appears_in_multiple_files | status_or_trust_field
penalties_non_deductible,7,4,components | lib,quoted_object_key | snake_case_reference,mentioned | object_field,p-and-l,components\p-and-l\ProfitAndLossOperatingExpenseGroup.jsx | lib\p-and-l\profitAndLossClassificationRules.js | lib\p-and-l\profitAndLossGroupingRules.js | lib\storage\profitAndLossStorage.js,appears_in_multiple_files | appears_with_multiple_roles
phone_system_cost,7,4,components | lib,object_key | snake_case_reference,calculation | mentioned | object_field | selector,general-overheads,components\general-overheads\GeneralOverheadForm.jsx | lib\calculations\generalOverheadCalculations.js | lib\selectors\general-overheads\generalOverheadDefinitions.js | lib\storage\generalOverheadStorage.js,appears_in_multiple_files | appears_with_multiple_roles
power_cost,7,4,components | lib,object_key | snake_case_reference,calculation | mentioned | object_field | selector,general-overheads,components\general-overheads\GeneralOverheadForm.jsx | lib\calculations\generalOverheadCalculations.js | lib\selectors\general-overheads\generalOverheadDefinitions.js | lib\storage\generalOverheadStorage.js,appears_in_multiple_files | appears_with_multiple_roles
software_subscriptions,7,4,components | lib,object_key | snake_case_reference,calculation | mentioned | object_field | selector,general-overheads,components\general-overheads\GeneralOverheadForm.jsx | lib\calculations\generalOverheadCalculations.js | lib\selectors\general-overheads\generalOverheadDefinitions.js | lib\storage\generalOverheadStorage.js,appears_in_multiple_files | appears_with_multiple_roles
text,7,4,components | lib,declaration,local_variable,p-and-l | revenue-cogs | unknown,components\p-and-l\ProfitAndLossQuickImportPanel.jsx | lib\audit\downloadLiveAuditSnapshot.js | lib\imports\xeroCogImporter.js | lib\p-and-l\profitAndLossExcelImporter.js,appears_in_multiple_files | appears_across_multiple_modules
