module_name,variable_name,likely_role,variable_style,occurrence_count,source_areas,source_files,first_seen_file,first_seen_line,extraction_types,notes
employee-overheads-legacy,has_employee_overheads,output_contract_field,snake_case,9,app | lib,app\dev\model-readiness\page.jsx | app\model-readiness\page.jsx | lib\reconciliation\reconciliationRules.js,app\dev\model-readiness\page.jsx,164,declaration | object_key | snake_case_reference,multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate | legacy_module_review_required
employee-overheads-legacy,output_contract,output_contract_field,snake_case,2,hooks,hooks\useEmployeeOverheads.js,hooks\useEmployeeOverheads.js,273,output_contract_reference,downstream_contract_candidate | legacy_module_review_required
employee-overheads-legacy,stored_profiles,output_contract_field,snake_case,2,hooks,hooks\useEmployeeOverheads.js,hooks\useEmployeeOverheads.js,274,snake_case_reference,downstream_contract_candidate | legacy_module_review_required
employee-overheads-legacy,status,status_field,plain,1,hooks,hooks\useEmployeeOverheads.js,hooks\useEmployeeOverheads.js,265,declaration,legacy_module_review_required
employee-overheads-legacy,is_active,readiness_field,snake_case,29,components | hooks | lib,components\employee-overheads\EmployeeOverheadCustomList.jsx | components\employee-overheads\EmployeeOverheadLibraryCard.jsx | hooks\useEmployeeOverheads.js | lib\calculations\employeeOverheadCalculations.js | lib\selectors\employeeOverheadSelectors.js | lib\storage\employeeOverheadLibraryStorage.js | lib\storage\employeeOverheadProfileStorage.js,components\employee-overheads\EmployeeOverheadCustomList.jsx,21,object_key | snake_case_reference,appears_in_multiple_files | legacy_module_review_required
employee-overheads-legacy,is_open,readiness_field,snake_case,6,components,components\employee-overheads\EmployeeOverheadHelpPanel.jsx | components\employee-overheads\EmployeeOverheadLibraryCard.jsx,components\employee-overheads\EmployeeOverheadHelpPanel.jsx,6,array_destructured_name | snake_case_reference,appears_in_multiple_files | legacy_module_review_required
employee-overheads-legacy,warnings,warnings_field,plain,1,lib,lib\selectors\employeeOverheadSelectors.js,lib\selectors\employeeOverheadSelectors.js,18,declaration,legacy_module_review_required
employee-overheads-legacy,active_profile,warning_id,snake_case,3,hooks | lib,hooks\useEmployeeOverheads.js | lib\selectors\employeeOverheadSelectors.js,hooks\useEmployeeOverheads.js,269,object_key | snake_case_reference,multiple_roles_detected | appears_in_multiple_files | legacy_module_review_required
employee-overheads-legacy,Active,object_field,PascalCase,2,components,components\employee-overheads\EmployeeOverheadCustomList.jsx | components\employee-overheads\EmployeeOverheadLibraryCard.jsx,components\employee-overheads\EmployeeOverheadCustomList.jsx,108,quoted_object_key,appears_in_multiple_files | legacy_module_review_required
employee-overheads-legacy,Collapse,object_field,PascalCase,2,components,components\employee-overheads\EmployeeOverheadHelpPanel.jsx | components\employee-overheads\EmployeeOverheadLibraryCard.jsx,components\employee-overheads\EmployeeOverheadHelpPanel.jsx,23,quoted_object_key,appears_in_multiple_files | legacy_module_review_required
