"module_name","variable_name","audit_status","code_present","brief_present","code_role","brief_role","code_files","brief_files","notes"
"p-and-l","variance","code_only_not_in_brief","yes","no","output_contract_field","","lib\selectors\profitAndLossSelectors.js","","implemented_contract_not_documented_in_brief"
"p-and-l","warn","code_only_not_in_brief","yes","no","output_contract_field","","components\p-and-l\ProfitAndLossStatusStrip.jsx | lib\selectors\profitAndLossSelectors.js","","implemented_contract_not_documented_in_brief"
"p-and-l","warnings","code_only_not_in_brief","yes","no","output_contract_field","","lib\selectors\profitAndLossSelectors.js","","implemented_contract_not_documented_in_brief"
"recovery-summary","recovery_summary","code_only_not_in_brief","yes","no","output_contract_field","","app\recovery-outcome\page.jsx | lib\calculations\recoveryOutcomeCalculations.js | lib\recovery\recoveryRiskWarningSystem.js","","implemented_contract_not_documented_in_brief"
"recovery-summary","recovery_summary_contract","code_only_not_in_brief","yes","no","output_contract_field","","app\recovery-outcome\page.jsx","","implemented_contract_not_documented_in_brief"
"revenue-cogs","business_setup","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useRevenueCogs.js","","implemented_contract_not_documented_in_brief"
"revenue-cogs","calculations","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useRevenueCogs.js","","implemented_contract_not_documented_in_brief"
"revenue-cogs","revenue_cogs","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useBusinessSummary.js | hooks\useRecoverySummary.js | hooks\useRevenueReality.js","","implemented_contract_not_documented_in_brief"
"revenue-cogs","revenue_cogs_state","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useRevenueCogs.js","","implemented_contract_not_documented_in_brief"
"revenue-reality","business_setup","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useRevenueReality.js","","implemented_contract_not_documented_in_brief"
"revenue-reality","calculations","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useRevenueReality.js","","implemented_contract_not_documented_in_brief"
